,Source,PX,PY,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
4461,20191128_192218_HDR_2.jpg,57,40,25.0,2.0,15.135801999999998,8.405984,25.0,-0.5942029999999999,-2.003676,29.0,2.0,15.567901,8.820484,82.0,-1.128058,-4.6862580000000005
2583,20191128_191203_HDR_2.jpg,116,35,18.0,4.0,13.666667000000002,6.367355,18.0,-0.33634000000000003,-0.935967,26.0,4.0,15.469135999999999,8.083036,88.0,-1.146611,-4.849062
814,20191128_191203_HDR_2.jpg,144,49,5.0,14.0,0.296296,6.2626550000000005,5.0,-0.28103,-0.9499719999999999,11.0,15.0,1.123457,7.630967999999999,76.0,-1.137802,-5.522553
6439,Control_A_-4.08.jpg,238,44,65.0,20.0,58.148148,16.842855,65.0,-0.655855,-1.5464280000000001,100.0,21.0,66.185185,21.396383,142.0,-1.197355,-4.563206
4604,20191128_191203_HDR_2.jpg,141,45,9.0,10.0,4.45679,5.97949,9.0,-0.261233,-0.900174,17.0,10.0,6.617284,7.469391000000001,81.0,-1.142651,-5.078587000000001
4066,Control_3_Bregma_-2.jpg,206,68,14.0,5.0,8.024691,5.397703,14.0,-0.436137,-1.861116,21.0,4.0,8.839506,5.980332,72.0,-1.0927790000000002,-5.111301
5149,20191128_192218_HDR_2.jpg,48,45,13.0,10.0,5.135802,6.497394,13.0,-0.370317,-1.457015,15.0,10.0,5.777778,6.67592,68.0,-1.06369,-4.75974
3617,20191128_191500_HDR_2.jpg,207,81,15.0,1.0,9.567900999999999,4.832856,15.0,-0.263852,-1.335343,17.0,1.0,9.802469,5.1434239999999996,123.0,-1.3080889999999998,-6.102653
2575,Control_3_Bregma_-2.jpg,69,58,4.0,11.0,-0.7901229999999999,4.221392,4.0,-0.099243,-1.378873,9.0,11.0,-0.703704,4.6599010000000005,55.0,-0.998972,-5.810739
3277,20191128_191320_HDR_2.jpg,92,33,8.0,2.0,4.432099,2.633771,8.0,-0.100772,-2.136001,11.0,3.0,3.4814809999999996,3.645092,95.0,-1.2129020000000001,-6.7898559999999994
6326,Control_A_3-4.jpg,160,30,6.0,13.0,2.432099,4.174994,6.0,-0.09851900000000001,-1.3312760000000001,10.0,12.0,3.345679,4.717083000000001,50.0,-0.934744,-5.616765
6023,20191128_191356_HDR_2.jpg,27,74,12.0,3.0,7.135802,3.9682480000000004,12.0,-0.256286,-1.512167,15.0,4.0,6.765432000000001,4.214237000000001,67.0,-1.048578,-5.329459
2299,20191128_192452_HDR_2.jpg,87,33,4.0,5.0,2.407407,2.433195,4.0,-0.004664,-0.476918,12.0,4.0,4.851852,3.978681,65.0,-1.042063,-5.634874
4532,20191128_191134_HDR_2.jpg,45,44,2.0,5.0,0.48148100000000005,2.06745,2.0,0.22906999999999997,-0.226727,10.0,5.0,2.407407,3.8770540000000002,69.0,-1.08149,-5.650114
4535,20191128_191118_HDR_2.jpg,57,44,5.0,4.0,2.580247,2.581339,5.0,0.17338499999999998,-0.115953,9.0,5.0,3.197531,3.202699,63.0,-1.027075,-5.247269999999999
4401,20191128_190910_HDR_2.jpg,105,30,8.0,8.0,4.777778,4.430534,8.0,-0.138693,-0.689928,15.0,9.0,5.370369999999999,5.184126999999999,98.0,-1.226285,-5.5646059999999995
6220,Control_3_Bregma_-2.jpg,69,59,7.0,8.0,2.024691,4.121534,7.0,-0.203875,-1.436447,11.0,8.0,2.160494,4.555438,58.0,-1.0136020000000001,-5.163119
2278,20191128_192452_HDR_2.jpg,157,51,6.0,4.0,3.469136,3.3484339999999997,6.0,-0.044583,-0.43660600000000005,13.0,4.0,4.839506,4.775081,75.0,-1.107249,-5.266222
355,Control_3_Bregma_-2.jpg,66,60,7.0,5.0,2.8271599999999997,3.523432,7.0,-0.127307,-1.519064,14.0,5.0,3.012346,4.01692,58.0,-0.997783,-5.865019
1973,20191128_191420_HDR_2.jpg,48,96,34.0,12.0,27.308642,11.35036,34.0,-0.5653600000000001,-1.5448389999999999,42.0,13.0,28.901234999999996,12.535978,81.0,-1.030276,-4.514608
4495,Control_2_Bregma_-3.12_PS_(1x).jpg,168,35,12.0,15.0,4.419753,6.099715,12.0,-0.395452,-2.0535330000000003,16.0,14.0,5.037037000000001,6.475871,80.0,-1.145158,-5.449534
3166,20191128_191320_HDR_2.jpg,86,34,4.0,9.0,-0.148148,3.1744,4.0,-0.069694,-1.493632,6.0,10.0,-0.160494,3.815035,91.0,-1.2056790000000002,-6.9799869999999995
607,20191128_190910_HDR_2.jpg,101,29,9.0,8.0,4.728395,4.70359,9.0,-0.202258,-0.94988,14.0,10.0,3.962963,5.1025160000000005,98.0,-1.22862,-5.66275
1474,Control_A_-2.76.jpg,93,50,1.0,70.0,-9.308641999999999,18.402658,1.0,-0.45883199999999996,-1.9289720000000001,33.0,70.0,-5.382716,21.827363000000002,69.0,-1.1284129999999999,-4.823556
2700,20191128_191558_HDR_2.jpg,187,54,15.0,1.0,10.62963,4.803405000000001,15.0,-0.23306100000000002,-1.075118,24.0,1.0,11.172839999999999,5.883205,108.0,-1.245848,-5.707798
4662,20191128_191558_HDR_2.jpg,213,79,6.0,5.0,2.7160490000000004,2.928087,6.0,0.09060700000000001,-0.7905989999999999,9.0,5.0,2.4567900000000003,3.16247,102.0,-1.241976,-6.420339
1273,20191128_192218_HDR_2.jpg,99,33,16.0,5.0,11.901235,5.725414,16.0,-0.23055599999999998,-0.710743,37.0,5.0,14.654321,9.265841,77.0,-1.085931,-4.381444
4725,Control_A_-2.76.jpg,141,28,17.0,11.0,11.222222,5.23285,17.0,-0.298346,-1.7011990000000001,27.0,12.0,12.493827,6.806176,97.0,-1.196489,-5.615677
2620,20191128_191028_HDR_2.jpg,40,43,7.0,0.0,4.283951,1.7863310000000001,7.0,0.139605,-1.131003,10.0,0.0,4.950617,1.993206,64.0,-1.022635,-6.061615
284,20191128_191647_HDR_2.jpg,127,27,5.0,10.0,1.8024689999999999,3.824611,5.0,-0.075925,-0.823066,12.0,11.0,2.37037,4.805975,82.0,-1.160103,-5.4471989999999995
1477,20191128_192218_HDR_2.jpg,86,30,12.0,11.0,5.641975,6.950102,12.0,-0.375766,-1.316552,20.0,10.0,6.864198,7.646113000000001,73.0,-1.101507,-4.709351
1846,Control_A_-2.76.jpg,96,48,14.0,32.0,9.098765,7.518872999999999,14.0,-0.10862999999999999,-0.794745,47.0,31.0,12.469136,11.461246000000001,83.0,-1.11855,-5.048394
3860,20191128_192922_HDR_2.jpg,46,65,3.0,6.0,2.049383,1.936659,3.0,0.393766,0.569611,11.0,5.0,4.592593,3.449021,54.0,-0.950708,-5.273613
2634,20191128_191134_HDR_2.jpg,46,44,3.0,4.0,1.419753,2.09564,3.0,0.297143,-0.046986,11.0,4.0,3.407407,4.033128,70.0,-1.0786719999999999,-5.771267
3671,20191128_191320_HDR_2.jpg,101,30,3.0,4.0,0.987654,1.953116,3.0,0.24513600000000002,-0.223027,9.0,3.0,2.074074,2.725181,96.0,-1.22078,-6.253278
4542,20191128_191500_HDR_2.jpg,48,76,12.0,3.0,7.444444,3.627739,12.0,-0.129701,-1.259514,15.0,3.0,8.061728,4.173241,83.0,-1.130752,-5.699726
4057,Control_2_Bregma_-3.12_PS_(1x).jpg,139,32,12.0,10.0,4.6666669999999995,5.463685,12.0,-0.257492,-1.360523,16.0,10.0,4.6543209999999995,5.820696,77.0,-1.115513,-5.032466
